#,1#,2#,#3,10#,4#,5#,6#,7#
2044,manage-admin,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-03-28T06:22:48.000000Z,2023-03-28T06:22:48.000000Z
2045,manage-roles,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-roles,1,"Super Admin",66.29.141.137,2023-03-28T06:23:03.000000Z,2023-03-28T06:23:03.000000Z
2046,manage-site-setting,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-site-setting,1,"Super Admin",66.29.141.137,2023-03-28T06:23:15.000000Z,2023-03-28T06:23:15.000000Z
2047,manage-site-setting,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-site-setting,1,"Super Admin",66.29.141.137,2023-03-28T06:23:36.000000Z,2023-03-28T06:23:36.000000Z
2048,manage-options-master,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-options-master,1,"Super Admin",66.29.141.137,2023-03-28T06:23:54.000000Z,2023-03-28T06:23:54.000000Z
2049,manage-headers,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-headers,1,"Super Admin",66.29.141.137,2023-03-28T06:24:17.000000Z,2023-03-28T06:24:17.000000Z
2050,manage-footers,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-footers,1,"Super Admin",66.29.141.137,2023-03-28T06:24:42.000000Z,2023-03-28T06:24:42.000000Z
2051,manage-admin,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-03-28T06:31:35.000000Z,2023-03-28T06:31:35.000000Z
2052,manage-admin,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-03-28T06:34:03.000000Z,2023-03-28T06:34:03.000000Z
2053,manage-people-section,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-people-section,1,"Super Admin",66.29.141.137,2023-03-28T06:51:13.000000Z,2023-03-28T06:51:13.000000Z
2054,22,"28-03-2023 ",https://iim.staggings.in/Accounts/manage-people-profile/22,1,"Super Admin",66.29.141.137,2023-03-28T06:52:41.000000Z,2023-03-28T06:52:41.000000Z
