#,1#,2#,#3,10#,4#,5#,6#,7#
39646,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:39:55.000000Z,2023-11-01T11:39:55.000000Z
39645,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:39:52.000000Z,2023-11-01T11:39:52.000000Z
39644,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:39:51.000000Z,2023-11-01T11:39:51.000000Z
39643,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:35:15.000000Z,2023-11-01T11:35:15.000000Z
39642,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:34:19.000000Z,2023-11-01T11:34:19.000000Z
39641,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:34:19.000000Z,2023-11-01T11:34:19.000000Z
39640,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:34:12.000000Z,2023-11-01T11:34:12.000000Z
39639,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:34:06.000000Z,2023-11-01T11:34:06.000000Z
39638,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:34:05.000000Z,2023-11-01T11:34:05.000000Z
39637,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:33:53.000000Z,2023-11-01T11:33:53.000000Z
39636,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:33:28.000000Z,2023-11-01T11:33:28.000000Z
39635,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:30:39.000000Z,2023-11-01T11:30:39.000000Z
39634,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:25:29.000000Z,2023-11-01T11:25:29.000000Z
39633,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:25:29.000000Z,2023-11-01T11:25:29.000000Z
39632,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:25:19.000000Z,2023-11-01T11:25:19.000000Z
39631,file-export,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.52,2023-11-01T11:25:18.000000Z,2023-11-01T11:25:18.000000Z
39630,Audit-data-show,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.52,2023-11-01T11:25:15.000000Z,2023-11-01T11:25:15.000000Z
39629,pages-list,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/pages-list,1,"Super Admin",192.168.1.52,2023-11-01T07:13:19.000000Z,2023-11-01T07:13:19.000000Z
39628,pages-list,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/pages-list,1,"Super Admin",192.168.1.52,2023-11-01T06:22:31.000000Z,2023-11-01T06:22:31.000000Z
39627,update_page_act/3,"01-11-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/update_page_act/eyJpdiI6IlhmYWt1T0U5bWZ2cUtva25rOGVrdEE9PSIsInZhbHVlIjoiRWYrN0hodkErV3E5ZWlodmd1cTB4QT09IiwibWFjIjoiZmY2NzE5ZDMzZjYzZmExMzRlZmViNzI4NmQ0NGE5NTJjMjI4M2Y1NDU4NGUzNmU4MDFmMDliM2IxNDhiMDA5YiIsInRhZyI6IiJ9,1,"Super Admin",192.168.1.52,2023-11-01T06:22:30.000000Z,2023-11-01T06:22:30.000000Z
