#,1#,2#,#3,10#,4#,5#,6#,7#
27287,file-export,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.4,2023-08-07T11:37:09.000000Z,2023-08-07T11:37:09.000000Z
27286,Audit-data-show,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.4,2023-08-07T11:36:09.000000Z,2023-08-07T11:36:09.000000Z
27285,file-export,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/file-export,1,"Super Admin",192.168.1.4,2023-08-07T11:36:08.000000Z,2023-08-07T11:36:08.000000Z
27284,Audit-data-show,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.4,2023-08-07T11:35:50.000000Z,2023-08-07T11:35:50.000000Z
27283,show_gallery,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/show_gallery,1,"Super Admin",192.168.1.4,2023-08-07T11:35:46.000000Z,2023-08-07T11:35:46.000000Z
27282,Audit-data-show,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",192.168.1.4,2023-08-07T11:33:33.000000Z,2023-08-07T11:33:33.000000Z
27281,add-news-edit-org/1,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/add-news-edit-org/eyJpdiI6Inc5VFRBYmtTMDVUNXNGSFVqNTE1VGc9PSIsInZhbHVlIjoiWkI2WjRxWFZtdlVSclRUV2t0Y3NQQT09IiwibWFjIjoiYTg4ZWRjMmI3MTFhN2VmOGYwZmMwZDY5NjU5NzY4ZjNkZTI2YmQ1ZTJhYjE2ZWJhNTQzMDE0NGI5MzFkYWM1YiIsInRhZyI6IiJ9,1,"Super Admin",192.168.1.4,2023-08-07T11:32:20.000000Z,2023-08-07T11:32:20.000000Z
27280,News-Event,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/News-Event,1,"Super Admin",192.168.1.4,2023-08-07T11:32:18.000000Z,2023-08-07T11:32:18.000000Z
27279,News-Event,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/News-Event,1,"Super Admin",192.168.1.4,2023-08-07T11:28:17.000000Z,2023-08-07T11:28:17.000000Z
27278,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:28:08.000000Z,2023-08-07T11:28:08.000000Z
27277,News-Event,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/News-Event,1,"Super Admin",192.168.1.4,2023-08-07T11:28:02.000000Z,2023-08-07T11:28:02.000000Z
27276,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:27:30.000000Z,2023-08-07T11:27:30.000000Z
27275,News-Event,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/News-Event,1,"Super Admin",192.168.1.4,2023-08-07T11:27:28.000000Z,2023-08-07T11:27:28.000000Z
27274,add-news-edit-org,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/add-news-edit-org,1,"Super Admin",192.168.1.4,2023-08-07T11:26:52.000000Z,2023-08-07T11:26:52.000000Z
27273,News-Event,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/News-Event,1,"Super Admin",192.168.1.4,2023-08-07T11:26:48.000000Z,2023-08-07T11:26:48.000000Z
27272,add-industry/21,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/add-industry/eyJpdiI6Ikwyd3R4VTEzRGtzK0NnRFZ6M3JWSmc9PSIsInZhbHVlIjoiUWNFMEJ6VTRESkNmVlRxdDZtMVNzQT09IiwibWFjIjoiNzJhNjljYmIzZDc2ZTA2N2FiYjVmNTE3NDEzZWIxZGNjMmYzNmU3MTI2YjgyMGFiYTcwOGU1YWI1MGQ2MmQyOCIsInRhZyI6IiJ9,1,"Super Admin",192.168.1.4,2023-08-07T11:26:03.000000Z,2023-08-07T11:26:03.000000Z
27271,add-industry/21,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/add-industry/eyJpdiI6Ikwyd3R4VTEzRGtzK0NnRFZ6M3JWSmc9PSIsInZhbHVlIjoiUWNFMEJ6VTRESkNmVlRxdDZtMVNzQT09IiwibWFjIjoiNzJhNjljYmIzZDc2ZTA2N2FiYjVmNTE3NDEzZWIxZGNjMmYzNmU3MTI2YjgyMGFiYTcwOGU1YWI1MGQ2MmQyOCIsInRhZyI6IiJ9,1,"Super Admin",192.168.1.4,2023-08-07T11:25:53.000000Z,2023-08-07T11:25:53.000000Z
27270,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:25:50.000000Z,2023-08-07T11:25:50.000000Z
27269,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/status-change/1/eyJpdiI6ImI1UGlDVzc5cThIbnM0S0liNkdmb3c9PSIsInZhbHVlIjoibWQ2a0pFLzVrV2RaMXJvK2N0VTFpQT09IiwibWFjIjoiM2UwZmYwM2Y3NjE4YjYxMDkzOWJjYTY1MDBlYzQwZGFjYTI0NThiMWEwMjc3OGJlNmViMDY2ZDJmNzFkM2RmYyIsInRhZyI6IiJ9/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:25:49.000000Z,2023-08-07T11:25:49.000000Z
27268,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:25:47.000000Z,2023-08-07T11:25:47.000000Z
27267,add-industry/21,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/add-industry/eyJpdiI6IlluRkY2a0xvV2JjdnZqOGFoV01PSkE9PSIsInZhbHVlIjoiMGlRZG43S1A3N09JOFZEQzFyK2lCdz09IiwibWFjIjoiNzMyYTNlZDUxMTcxYzc4YTNiYThhNDg3OWJhYTM4YzkzMzc1NTA3MGI3ZmIxOWRiNjEyMDlhN2Q4NzYzYzAyYiIsInRhZyI6IiJ9,1,"Super Admin",192.168.1.4,2023-08-07T11:25:44.000000Z,2023-08-07T11:25:44.000000Z
27266,industry,"07-08-2023 ",http://localhost/project_new/iim-kashipur/public/Accounts/industry,1,"Super Admin",192.168.1.4,2023-08-07T11:25:42.000000Z,2023-08-07T11:25:42.000000Z
