#,1#,2#,#3,10#,4#,5#,6#,7#
4900,file-export,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-05-25T11:15:32.000000Z,2023-05-25T11:15:32.000000Z
4899,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:15:30.000000Z,2023-05-25T11:15:30.000000Z
4898,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:14:21.000000Z,2023-05-25T11:14:21.000000Z
4897,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:14:10.000000Z,2023-05-25T11:14:10.000000Z
4896,assign-role/23,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/assign-role/eyJpdiI6ImUrQjNhTzFTSzFwUkpvV1pEd3JEVlE9PSIsInZhbHVlIjoiWER0VmFHYmYrWFJvQVp2SDFHY0pidz09IiwibWFjIjoiN2VhZjZkYTdkZGM2M2VhNGVlMDE5ZjU5ZTRjMGFjMjU1YzAxMDA5MjU4Y2ZkMjU0NTk1YjFiYzhhZTJiNDk5MCIsInRhZyI6IiJ9,22,Pranotiallewar,66.29.141.137,2023-05-25T11:13:58.000000Z,2023-05-25T11:13:58.000000Z
4895,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:13:56.000000Z,2023-05-25T11:13:56.000000Z
4894,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:13:42.000000Z,2023-05-25T11:13:42.000000Z
4893,Audit-data-show,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-05-25T11:13:20.000000Z,2023-05-25T11:13:20.000000Z
4892,add-edit-admin/23,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin/eyJpdiI6Iitsb2NPMlp6c3RWajhsc1R3SWlTZ3c9PSIsInZhbHVlIjoiZU1YL2Z1T3FwcmVlcllwNjhWaVVtUT09IiwibWFjIjoiZWQ1Yzk2ODRmOWVhNDBkOTYzNmU0Y2E3MTJkODg1ZDNiMzVmYTcxMGM3ZDE5ODc2ZTc2OTk3YTBhM2JjOTYwMyIsInRhZyI6IiJ9,22,Pranotiallewar,66.29.141.137,2023-05-25T11:13:12.000000Z,2023-05-25T11:13:12.000000Z
4891,assign-role/23,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/assign-role/eyJpdiI6ImUrQjNhTzFTSzFwUkpvV1pEd3JEVlE9PSIsInZhbHVlIjoiWER0VmFHYmYrWFJvQVp2SDFHY0pidz09IiwibWFjIjoiN2VhZjZkYTdkZGM2M2VhNGVlMDE5ZjU5ZTRjMGFjMjU1YzAxMDA5MjU4Y2ZkMjU0NTk1YjFiYzhhZTJiNDk5MCIsInRhZyI6IiJ9,22,Pranotiallewar,66.29.141.137,2023-05-25T10:49:51.000000Z,2023-05-25T10:49:51.000000Z
4890,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,22,Pranotiallewar,66.29.141.137,2023-05-25T10:44:48.000000Z,2023-05-25T10:44:48.000000Z
4889,add-edit-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin,22,Pranotiallewar,66.29.141.137,2023-05-25T10:44:48.000000Z,2023-05-25T10:44:48.000000Z
4888,add-edit-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin,22,Pranotiallewar,66.29.141.137,2023-05-25T10:42:49.000000Z,2023-05-25T10:42:49.000000Z
4887,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:39:05.000000Z,2023-05-25T10:39:05.000000Z
4886,manage-roles,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-roles,1,"Super Admin",66.29.141.137,2023-05-25T10:39:03.000000Z,2023-05-25T10:39:03.000000Z
4885,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:39:00.000000Z,2023-05-25T10:39:00.000000Z
4884,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,22,Pranotiallewar,66.29.141.137,2023-05-25T10:35:12.000000Z,2023-05-25T10:35:12.000000Z
4883,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:34:52.000000Z,2023-05-25T10:34:52.000000Z
4882,assign-role/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/assign-role/eyJpdiI6Ii9hSmN0NExrK0cxRWx5a2wvTjlhNVE9PSIsInZhbHVlIjoiNmRBM21qQlpkTXliVlpLRkgraWMwdz09IiwibWFjIjoiMmFmODMzOGFlOTU1ZGRjNjliNWM3ODIyYmRmZjVjYmE3ZWE5NTE0MjJmZjQ0Y2Y4M2YzODVmMjc0NWQ0M2U2MiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:34:52.000000Z,2023-05-25T10:34:52.000000Z
4881,assign-role/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/assign-role/eyJpdiI6Ii9hSmN0NExrK0cxRWx5a2wvTjlhNVE9PSIsInZhbHVlIjoiNmRBM21qQlpkTXliVlpLRkgraWMwdz09IiwibWFjIjoiMmFmODMzOGFlOTU1ZGRjNjliNWM3ODIyYmRmZjVjYmE3ZWE5NTE0MjJmZjQ0Y2Y4M2YzODVmMjc0NWQ0M2U2MiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:34:48.000000Z,2023-05-25T10:34:48.000000Z
4880,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:34:46.000000Z,2023-05-25T10:34:46.000000Z
4879,1/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/change-status/1/eyJpdiI6IlRXcmt6RkhkOTNncEFvZkU2emFCRXc9PSIsInZhbHVlIjoiK2dxR2tJOS94RDFzVHhNdVdQUGtLUT09IiwibWFjIjoiMjFkNGYwOTRlNDI3NzQxMDJhZThjZjRiN2E0MjkzZTJiMmNiNmNiZjdiMjJlMDZlZTcyZDZmNmUxNDNiMDRmZiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:34:46.000000Z,2023-05-25T10:34:46.000000Z
4878,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:34:44.000000Z,2023-05-25T10:34:44.000000Z
4877,0/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/change-status/0/eyJpdiI6IjdFeXZKWGdQMmo2ZTRZQmtYaE10RXc9PSIsInZhbHVlIjoiZ2dNT01YTmhHTlFiNjlXK0pKaldDdz09IiwibWFjIjoiY2FkYzVhYzc4MTAyMjUxMzNmMGE5ZTg1YmMwNTA3ZjNkMjI4NWZmOGQ4YTdiMjZmMGJhZTI1MjdkZGNiYTg4MCIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:34:43.000000Z,2023-05-25T10:34:43.000000Z
4876,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:34:35.000000Z,2023-05-25T10:34:35.000000Z
4875,manage-quick-links,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-05-25T10:29:25.000000Z,2023-05-25T10:29:25.000000Z
4874,add-edit-quicklink/112,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-quicklink/eyJpdiI6IitaZDExb20zakFrYVBxN3I0YmdPQXc9PSIsInZhbHVlIjoiQnkrd0YyWG5Pckx5TXNMUExFd3lVQT09IiwibWFjIjoiODM3MjFkZTkyNGRjMTgxY2FjMDlmN2EyNjQzOGQ5NDU2Y2RiNjg1ZjI0Njk1MTQ4ZWExMjcxNTExZTg5N2Y4YiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:29:25.000000Z,2023-05-25T10:29:25.000000Z
4873,photodata,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/photodata,1,"Super Admin",66.29.141.137,2023-05-25T10:28:59.000000Z,2023-05-25T10:28:59.000000Z
4872,add-edit-quicklink/112,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-quicklink/eyJpdiI6IitaZDExb20zakFrYVBxN3I0YmdPQXc9PSIsInZhbHVlIjoiQnkrd0YyWG5Pckx5TXNMUExFd3lVQT09IiwibWFjIjoiODM3MjFkZTkyNGRjMTgxY2FjMDlmN2EyNjQzOGQ5NDU2Y2RiNjg1ZjI0Njk1MTQ4ZWExMjcxNTExZTg5N2Y4YiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:28:58.000000Z,2023-05-25T10:28:58.000000Z
4871,manage-quick-links,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-05-25T10:28:55.000000Z,2023-05-25T10:28:55.000000Z
4870,add-edit-admin/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin/eyJpdiI6InA0Rmk5cmIvdDJkanlaQzdKQkZjTkE9PSIsInZhbHVlIjoiVWs2Z0ExbmRscDMxTGJMNWNCRUxBQT09IiwibWFjIjoiYWU5MWU1NzQxYzIzNDk2ZDgzMzY2YjE4M2Y2MjgxZGYzZjU2Yjk1ODE1YjY2ZjRmNjhjMmRiYzRmYmEwZDY0ZSIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:27:55.000000Z,2023-05-25T10:27:55.000000Z
4869,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:26:30.000000Z,2023-05-25T10:26:30.000000Z
4868,1/22,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/change-status/1/eyJpdiI6IkhKb083Njd1b0o2dkhqUThSK05ldGc9PSIsInZhbHVlIjoieHVCY2gyejB6elRRTm5FbHlMUUtOQT09IiwibWFjIjoiODMzODRjMzE4YTBlMDlkYTdlOWExOGEyOWU5OTkyODM1NDI3YzYxMTEyYmU5ZWE0NTQ1ODg3NGNiZTgwOGQxZSIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:26:30.000000Z,2023-05-25T10:26:30.000000Z
4867,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:26:26.000000Z,2023-05-25T10:26:26.000000Z
4866,add-edit-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:26:25.000000Z,2023-05-25T10:26:25.000000Z
4865,add-edit-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:26:09.000000Z,2023-05-25T10:26:09.000000Z
4864,manage-admin,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-05-25T10:26:07.000000Z,2023-05-25T10:26:07.000000Z
4863,delete-admin/19,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/delete-admin/eyJpdiI6InJ0TXQ2N2Z6bDljU1Z3SStKUEF3REE9PSIsInZhbHVlIjoieGlrZTBSUkU4cnV6TE9HUHhyUzVoZz09IiwibWFjIjoiYWVmNGNjZTRlZTZkOTVhODRjMTFiZWFjMTU4MGQ5NjEwYTg2MWQ4MTRlNTQ5YWM2NGFkMWJlYmE0ZDMxM2FhOSIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:26:07.000000Z,2023-05-25T10:26:07.000000Z
4862,assign-role/19,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/assign-role/eyJpdiI6IlVwRG1zL1lPTGpRdXJjYVg0cG5ybVE9PSIsInZhbHVlIjoiT0tVMnNqRDVUNHZFNml6OHNjTVR0dz09IiwibWFjIjoiNDlhODg0MjhjZmUyODRmM2U5YTUyYjdlZGZiMDcyMTkwMzEwNDA4NTc4ODYzNDU3N2UyNzUzNWNkYzc1YWE1ZSIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:24:12.000000Z,2023-05-25T10:24:12.000000Z
4861,add-edit-admin/19,"25-05-2023 ",https://iim.staggings.in/iim-kashipur/public/Accounts/add-edit-admin/eyJpdiI6IlpYME5WTVVRQVFySFR6dzBTTnVGRFE9PSIsInZhbHVlIjoiY2wzZFRzOCtnVmF6Nm03Z1VnMitmZz09IiwibWFjIjoiYzZjMTAzM2Y3MGFkNmI1NjdlZDAyNDJlNDE0NzFkZWIyMjFhZjdmZjAxZTlhOTFlZWU5MzMzZTk3OGExYTBhZiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-05-25T10:23:39.000000Z,2023-05-25T10:23:39.000000Z
