#,1#,2#,#3,10#,4#,5#,6#,7#
27696,file-export,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-11T11:43:01.000000Z,2023-08-11T11:43:01.000000Z
27695,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:42:42.000000Z,2023-08-11T11:42:42.000000Z
27694,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:42:41.000000Z,2023-08-11T11:42:41.000000Z
27693,file-export,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-11T11:42:41.000000Z,2023-08-11T11:42:41.000000Z
27692,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:42:27.000000Z,2023-08-11T11:42:27.000000Z
27691,file-export,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-11T11:42:27.000000Z,2023-08-11T11:42:27.000000Z
27690,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:42:21.000000Z,2023-08-11T11:42:21.000000Z
27689,file-export,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-11T11:42:20.000000Z,2023-08-11T11:42:20.000000Z
27688,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:42:15.000000Z,2023-08-11T11:42:15.000000Z
27687,file-export,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-08-11T11:42:15.000000Z,2023-08-11T11:42:15.000000Z
27686,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:40:38.000000Z,2023-08-11T11:40:38.000000Z
27685,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:40:31.000000Z,2023-08-11T11:40:31.000000Z
27684,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:40:20.000000Z,2023-08-11T11:40:20.000000Z
27683,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:40:04.000000Z,2023-08-11T11:40:04.000000Z
27682,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:39:55.000000Z,2023-08-11T11:39:55.000000Z
27681,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:39:30.000000Z,2023-08-11T11:39:30.000000Z
27680,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:34:46.000000Z,2023-08-11T11:34:46.000000Z
27679,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:33:55.000000Z,2023-08-11T11:33:55.000000Z
27678,Audit-data-show,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-08-11T11:18:35.000000Z,2023-08-11T11:18:35.000000Z
27677,feedback,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/feedback,1,"Super Admin",66.29.141.137,2023-08-11T11:07:54.000000Z,2023-08-11T11:07:54.000000Z
27676,pages-list,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/pages-list,53,Monu,66.29.141.137,2023-08-11T10:49:48.000000Z,2023-08-11T10:49:48.000000Z
27675,update-page/186,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/update-page/eyJpdiI6IkRGaExrY1NHbjlPeG1MVlkrcUFjTFE9PSIsInZhbHVlIjoiZWZEbXFPakhEZll1dzlVMzJBQUNvZz09IiwibWFjIjoiMzA3OTc5YzMyZGM3ZjI1Y2JlMGRkZWViNDA4YzE1ZDg1NmJiZWM3ZmY1OTA2NDlkYzBkOWQ0NDFlNjc4ZGE0OSIsInRhZyI6IiJ9,53,Monu,66.29.141.137,2023-08-11T10:49:48.000000Z,2023-08-11T10:49:48.000000Z
27674,pages-list,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/pages-list,53,Monu,66.29.141.137,2023-08-11T10:49:32.000000Z,2023-08-11T10:49:32.000000Z
27673,pages-list,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/pages-list,53,Monu,66.29.141.137,2023-08-11T10:49:06.000000Z,2023-08-11T10:49:06.000000Z
27672,pages-list,"11-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,49,Testcreator,66.29.141.137,2023-08-11T10:48:23.000000Z,2023-08-11T10:48:23.000000Z
27671,journal-publications,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/journal-publications,53,Monu,66.29.141.137,2023-08-11T10:45:52.000000Z,2023-08-11T10:45:52.000000Z
27670,add-edit-journal-publications,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/add-edit-journal-publications,53,Monu,66.29.141.137,2023-08-11T10:45:52.000000Z,2023-08-11T10:45:52.000000Z
27669,journal-publications,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/journal-publications,53,Monu,66.29.141.137,2023-08-11T10:45:45.000000Z,2023-08-11T10:45:45.000000Z
27668,student-council,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/student-council,53,Monu,66.29.141.137,2023-08-11T10:45:41.000000Z,2023-08-11T10:45:41.000000Z
27667,Event-Activites,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/Event-Activites,53,Monu,66.29.141.137,2023-08-11T10:45:31.000000Z,2023-08-11T10:45:31.000000Z
27666,pages-list,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/pages-list,53,Monu,66.29.141.137,2023-08-11T10:45:09.000000Z,2023-08-11T10:45:09.000000Z
27665,manage-quick-links,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-quick-links,53,Monu,66.29.141.137,2023-08-11T10:45:04.000000Z,2023-08-11T10:45:04.000000Z
27664,manage-committee,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-committee,53,Monu,66.29.141.137,2023-08-11T10:44:51.000000Z,2023-08-11T10:44:51.000000Z
27663,manage-clubs,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-clubs,53,Monu,66.29.141.137,2023-08-11T10:44:47.000000Z,2023-08-11T10:44:47.000000Z
27662,manage-main-menu,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-main-menu,53,Monu,66.29.141.137,2023-08-11T10:44:38.000000Z,2023-08-11T10:44:38.000000Z
27661,industry,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/industry,53,Monu,66.29.141.137,2023-08-11T10:44:22.000000Z,2023-08-11T10:44:22.000000Z
27660,add-industry/18,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/add-industry/eyJpdiI6IndoSVBVV1ZKSWpuMzVuTzI1YVhtVkE9PSIsInZhbHVlIjoiUmtUMVlwcDBSQW5VVVdBR3RVQW8vdz09IiwibWFjIjoiNTIwZTU4YTVlYjc2OGRhYjI4MjVjNGQzMDMwOTY1ZWE5NDc2ODA0MDllNzY5ODVhOGM1YTMxNTk1YzczODcyNyIsInRhZyI6IiJ9,53,Monu,66.29.141.137,2023-08-11T10:44:21.000000Z,2023-08-11T10:44:21.000000Z
27659,industry,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/industry,53,Monu,66.29.141.137,2023-08-11T10:43:41.000000Z,2023-08-11T10:43:41.000000Z
27658,manage-admin,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-admin,1,"Super Admin",66.29.141.137,2023-08-11T10:43:12.000000Z,2023-08-11T10:43:12.000000Z
27657,manage-banners-sliders,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/manage-banners-sliders,1,"Super Admin",66.29.141.137,2023-08-11T10:39:42.000000Z,2023-08-11T10:39:42.000000Z
27656,permissions/21,"11-08-2023 ",https://dev.iim.staggings.in/public/Accounts/permissions/eyJpdiI6Ii94Y2RlOWFkSFk3andhRU5IcHh4TVE9PSIsInZhbHVlIjoiQTBmTnhGWWFHM1orc3RSZjdpSDFrQT09IiwibWFjIjoiOGMyMGQ5NDMzOGQyY2M1MGU5ODhkNzNhMmNiZWNmYzMxNDJjYjE3YTliMjE4MDM5NGMxYThiODU0ODhhMmQ1YiIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-08-11T10:29:33.000000Z,2023-08-11T10:29:33.000000Z
