#,1#,2#,#3,10#,4#,5#,6#,7#
9210,file-export,"26-06-2023 ",https://iim.staggings.in/Accounts/file-export,1,"Super Admin",66.29.141.137,2023-06-26T04:34:56.000000Z,2023-06-26T04:34:56.000000Z
9209,Audit-data-show,"26-06-2023 ",https://iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-06-26T04:34:54.000000Z,2023-06-26T04:34:54.000000Z
9208,Audit-data-show,"26-06-2023 ",https://iim.staggings.in/Accounts/Audit-data-show,1,"Super Admin",66.29.141.137,2023-06-26T04:34:53.000000Z,2023-06-26T04:34:53.000000Z
9207,add-edit-quicklink/86,"26-06-2023 ",https://iim.staggings.in/Accounts/add-edit-quicklink/eyJpdiI6IlZBSVAwc0tQbG9wSTdtVWVwUGEzYkE9PSIsInZhbHVlIjoiUE1XMmIwSWZDK3Z1NWR6L3lId0sydz09IiwibWFjIjoiYmVjNTU2NDQzNWU1YTRlZTJiZDJjNGU1YjczODQyNzM4Mzc3NTI4MjQwZDMxOTc4NGU1ZGM3NjU4N2FlOTc0YyIsInRhZyI6IiJ9,1,"Super Admin",66.29.141.137,2023-06-26T04:00:59.000000Z,2023-06-26T04:00:59.000000Z
9206,add-edit-quicklink,"26-06-2023 ",https://iim.staggings.in/Accounts/add-edit-quicklink,1,"Super Admin",66.29.141.137,2023-06-26T04:00:27.000000Z,2023-06-26T04:00:27.000000Z
9205,manage-quick-links,"26-06-2023 ",https://iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-06-26T04:00:17.000000Z,2023-06-26T04:00:17.000000Z
9204,manage-quick-links,"26-06-2023 ",https://iim.staggings.in/Accounts/manage-quick-links,1,"Super Admin",66.29.141.137,2023-06-26T04:00:12.000000Z,2023-06-26T04:00:12.000000Z
9203,show_link,"26-06-2023 ",https://iim.staggings.in/Accounts/show_link,1,"Super Admin",66.29.141.137,2023-06-26T03:58:49.000000Z,2023-06-26T03:58:49.000000Z
9202,add_link,"26-06-2023 ",https://iim.staggings.in/Accounts/add_link,1,"Super Admin",66.29.141.137,2023-06-26T03:58:48.000000Z,2023-06-26T03:58:48.000000Z
